count,local_dummy,minuto,name,numero,posicion
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>45'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150628"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150628/150628.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150628/150628.jpg""/>
</a>
</div>","<strong class=""numero"">#8 </strong>","<span class=""posicion"">Medio</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>45'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/104152"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/104152/104152.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/104152/104152.jpg""/>
</a>
</div>","<strong class=""numero"">#11 </strong>","<span class=""posicion"">Medio</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>73'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150629"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150629/150629.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150629/150629.jpg""/>
</a>
</div>","<strong class=""numero"">#4 </strong>","<span class=""posicion"">Defensa</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>73'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150634"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150634/150634.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150634/150634.jpg""/>
</a>
</div>","<strong class=""numero"">#18 </strong>","<span class=""posicion"">Delantero</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>90'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/62586"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/62586/62586.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/62586/62586.jpg""/>
</a>
</div>","<strong class=""numero"">#29 </strong>","<span class=""posicion"">Defensa Lateral</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>90'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/91098"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/91098/91098.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/91098/91098.jpg""/>
</a>
</div>","<strong class=""numero"">#33 </strong>","<span class=""posicion"">Medio Ofensivo</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150491/washington-omar-aguerre-lima"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150491/150491.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150491/150491.jpg""/>
</a>
</div>","<strong class=""numero"">
<span class=""posicionJ guantes""> </span>
<span class=""posicionJ capitan""> </span> 
                                                    #1
                                                </strong>","<span class=""posicion"">Portero</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/50896/omar-israel-mendoza-martin"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/50896/50896.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/50896/50896.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #2
                                                </strong>","<span class=""posicion"">Defensa Lateral</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/67118/erik-vera-franco"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/67118/67118.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/67118/67118.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #17
                                                </strong>","<span class=""posicion"">Defensa Lateral</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/137869/jose-alexis-doldan-aquino"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/137869/137869.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/137869/137869.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #22
                                                </strong>","<span class=""posicion"">Defensa Central</span>"
